속성,도메인,Description,Method,Path,QueryString,비고
Yes,auth,카카오 소셜 로그인,POST,/auth/login/kakao,,
Yes,auth,네이버 소셜 로그인,POST,/auth/login/naver,,
No,------------------,,,,,
Yes,Member,닉네임 중복 검사,GET,/members/{nickname},,
Yes,Member,회원가입,POST,/members/signup,,
Yes,"Member, Review",리뷰 작성,POST,/members/reviews,,
Yes,"Member, Review",내가 작성한 리뷰 조회,GET,/members/reviews,?page=0&size=10,
Yes,"Member, Review",거래 리뷰 조회 (리뷰 받은것),GET,/members/{nickname}/reviews,?page=0&size=10,
Yes,"Member, Profile",프로필 수정,PATCH,/members/profiles,,
Yes,"Member, Profile",프로필 조회,GET,/members/profiles/{nickname},,
Yes,"Member, Profile",경매 내역 - 주최한 경매,GET,/members/profiles/{nickname}/saleHost,?page=0&size=10,
Yes,"Member, Profile",역경매 내역-주최한 역경매,GET,/members/profiles/{nickname}/purchaseHost,?page=0&size=10,
Yes,"Member, Profile",경매 내역 - 참여한 경매,GET,/members/profiles/saleParticipant,?page=0&size=10,
Yes,"Member, Profile","역경매 내역-참여한 역경매 ",GET,/members/profiles/purchaseSeller,?page=0&size=10,
Yes,"Member, Profile",찜 목록 조회(경매/역경매),GET,/members/profiles/wishes,?type=sale,
Yes,"Member, Points",포인트 내역 조회,GET,/members/points,?page=0&size=10,
Yes,"Member, Points",포인트 충전,POST,/members/points,,
No,------------------,,,,,
Yes,거래,거래글 찜목록 추가,POST,/deals/{dealId}/wishes,?dealId=1,
Yes,거래,거래글 찜목록 제거,DELETE,/deals/{dealId}/wishes,,
Yes,"Purchase, 거래",구매글 작성,POST,/deals/purchases,,
Yes,"Purchase, 거래",구매글 삭제,DELETE,/deals/purchases/{purchasesId},,
Yes,"Purchase, 거래","구매글 상세 조회  ",GET,/deals/purchases/{purchasesId},,
Yes,"Purchase, 거래",구매글 목록 조회(필터링 조건),GET,/deals/purchases,?catg=all&area=all&asc=f (&key=아이폰),
Yes,"Purchase, 거래",역경매 참여 신청,POST,/deals/purchases/{purchasesId}/applyforms,,
Yes,"Sale, 거래",판매글 작성,POST,/deals/sales,,
Yes,"Sale, 거래",판매글 상세 조회,GET,/deals/sales/{saleId},,
Yes,"Sale, 거래",판매글 수정,PATCH,/deals/sales/{saleId},,
Yes,"Sale, 거래",판매글 삭제,DELETE,/deals/sales/{saleId},,
Yes,"Sale, 거래",판매글 목록 조회,GET,/deals/sales,?page=0&size=10&catg=all&area=all&order=desc&status=BEFORE&keyword=아이폰,
Yes,"Sale, 거래",입찰하기(구매자),POST,/deals/sales/{saleId}/bids,,
Yes,"Sale, 거래",즉시 구매 하기,POST,/deals/sales/{saleId}/immediate,,
Yes,"Sale, 거래",라이브 요청하기,POST,/deals/sales/{saleId}/livereqs,,
No,------------------,,,,,
No,live,"라이브 방 만들기, 참가",GET,/lives/create/rooms,,
No,"Purchase, live","역경매 판매자 선택, 채팅방 개설",GET,/lives/purchase/results,,
No,live,라이브 녹화 시작,GET,/lives/start/recording,,
No,live,라이브 녹화 가이드 타임라인,GET,/lives/check/recording,,
No,live,라이브 녹화 종료,GET,/lives/end/recording,,
No,"Purchase, live",역경매 라이브 종료하기,GET,/lives/end/purchase/{dealId},,
No,live,라이브 동영상 가지고 오기,GET,/lives/recording/video/{dealId},,
No,live,"녹화영상 STT, 요약 내용 가져오기",GET,/lives/videotexts,?videoId=,
No,------------------,,,,,
No,Chat,채팅방 목록 조회,GET,/chats/rooms,?userId=sampleUser,
No,Chat,채팅방 상세 조회 (채팅 내역),GET,/chats/rooms/{dealId},,
Yes,Chat,채팅방 나가기,DELETE,/chats/rooms/{dealId},,
No,Chat,채팅방 거래 확정 버튼 누르기,GET,/chats/confirmed/{dealId},,
No,Chat,채팅 보내기,MESSAGE,/chats/message/{dealId},,
No,"Chat, live",라이브 채팅 보내기,MESSAGE,/chats/message/{dealId},,
No,------------------," ",,,,
No,SSE,SSE알림 연결,GET,/sse/subscribe/{memberId},,
No,SSE,SSE,POST,/sse/send/{memberId},,
